"professor","Course.Name","Survey.Period","Svy.Rcv","Exp","X.","I.would.recommend.this.professor.to.other.students","When.I.sought.consultation.about.this.course..the.professor.was.available.outside.of.class.time","I.received.adequate.supervision.over.my.work.on.the.project","I.received.my.placement.in.a.timely.fashion","I.received.the.project.in.a.timely.fashion","In.the.course.of.working.on.my.clinic.projects..I.received.thorough.and.useful.supervision","My.experience.at.the.field.placement.was.positive","My.experience.in.the.field.work.component.enhanced.my.understanding.and.the.insights.I.gained.in.the","The.class.covered.meaningful.and.worthwhile.subject.matter.","The.class.improved.my.lawyering.skills","The.clinic.has.improved.my.ability.to.function.as.a.lawyer","The.clinic.projects.and.classroom.components.of.the.course.were.integrated.effectively","The.professor.adjusted.the.class.for.the.online.distance.learning.format","The.professor.s.feedback.on.my.project.work.was.helpful.in.revising.my.work","The.project.was.well.defined","The.readings.were.useful.and.well.integrated.into.the.course.and.or.provided.helpful.background.for","The.seminar.classes.enhanced.the.field.work.component","How.well.has.the.professor.adjusted.the.class.for.the.online.environment.","I.had.a.helpful.personal.consultation.with.the.professor.about.my.draft.paper","I.received.helpful.guidance.regarding.research.strategy.from.the.professor.and.or.from.a.guest.lectu","The.professor.adjusted.the.class.for.the.online.environment.","The.professor.challenged.students.to.think.critically","The.professor.created.a.learning.environment.that.was.hospitable.to.all.students","The.professor.provided.detailed.written.feedback.on.my.preliminary.draft.s..of.the.paper","The.professor.provided.timely.and.useful.comments.on.my.outline.or.other.preparatory.written.product","The.professor.taught.the.course.well","The.professor.s.feedback.on.the.preliminary.draft.s..was.will.be.helpful.in.revising.my.paper","n_courses"
"Barlow, Esthena","Appellate Courts Immersion Cli",202230,4,8,50,5,5,NA,NA,NA,5,NA,NA,5,NA,4.8,4.8,NA,NA,NA,5,NA,NA,NA,NA,NA,5,4.8,NA,NA,5,NA,1
"Barnes, Beaudre","US Legal Res. Anlsys & Writing",201930,11,11,100,5,5,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,4.9,NA,NA,NA,NA,NA,4.9,5,NA,NA,5,NA,1
"Barnett, Randy","Con Law I: Federal System",202010,44,61.5,72,3.55,4.05,NA,NA,NA,NA,NA,NA,4.45,NA,NA,NA,NA,NA,NA,4.35,NA,NA,NA,NA,NA,4.2,3.8,NA,NA,3.75,NA,2
"Barnett, Randy","Constitutional Law II",202030,45.8,67.8,68.2,4.46,4.58,NA,NA,NA,NA,NA,NA,4.84,NA,NA,NA,NA,NA,NA,4.6,NA,NA,NA,NA,NA,4.62,4.34,NA,NA,4.58,NA,5
"Barnett, Randy","Recent Books On Constitution S",202030,11,14,79,4.74,4.72,NA,NA,NA,NA,NA,NA,4.9,NA,NA,NA,NA,NA,NA,4.92,NA,NA,NA,NA,NA,4.94,4.76,NA,NA,4.86,NA,5
"Barrage, Rafic","Intl Tax & Business Planning",202060,11.5,17.25,63.75,4.75,4.6,NA,NA,NA,NA,NA,NA,4.95,NA,NA,NA,NA,NA,NA,4.65,NA,NA,NA,NA,NA,4.975,4.95,NA,NA,4.675,NA,4
"Barrett, Lindsey","Communic & Tech Clinic",201970,5.5,7,75,4.8,5,NA,NA,NA,4.55,NA,NA,5,NA,4.75,4.2,NA,NA,NA,4.3,NA,NA,NA,NA,NA,5,4.85,NA,NA,4.85,NA,2
"Barrett, Lindsey","IPR Communic & Tech Clinic",201870,2,7,29,4.5,5,NA,NA,NA,4.5,NA,NA,5,NA,4.5,4,NA,NA,NA,4.5,NA,NA,NA,NA,NA,4.5,4.5,NA,NA,4,NA,2
"Barrett, Lindsey","Tech Law & Pol Inv Practicum",202110,2,2,100,5,5,5,NA,5,NA,NA,NA,5,NA,NA,NA,NA,5,4,5,NA,NA,NA,NA,NA,5,5,NA,NA,5,NA,1
"Barrett, Tarik","Street Law: Crim Just & HR",201880,5.5,12,45.5,4,4.25,4.4,NA,3.6,NA,NA,NA,4.55,NA,NA,NA,NA,4,3.75,3.25,NA,NA,NA,NA,NA,4.15,4.2,NA,NA,4,NA,2
"Barrett, Tarik","Street Law: Mock Trial Adv",202010,5.667,12.333,48,4.6,4.567,4.433,NA,4.267,NA,NA,NA,4.5,NA,NA,NA,NA,4.433,4.333,3.667,NA,NA,NA,NA,NA,4.633,4.733,NA,NA,4.533,NA,3
"Barrie, John","Tax Plan for Corp Acq",202081.429,4.571,13.286,32.143,3.829,4.483,NA,NA,NA,NA,NA,NA,4.414,NA,NA,NA,NA,NA,NA,4.114,NA,4.333,NA,NA,NA,4.129,4.386,NA,NA,3.829,NA,7
"Barta, James","Consrvtsm in Law in Amer Sem",201830,8,13,62,4.6,5,NA,NA,NA,NA,NA,NA,4.6,NA,NA,NA,NA,NA,NA,4.4,NA,NA,4.8,4.7,NA,5,4.9,4.3,4.8,4.5,4.3,1
"Bateman, Lauren","Appellate Litigation Clinic",202160,9.5,16,59.5,4.45,4.65,NA,NA,NA,4.55,NA,NA,4.8,NA,4.65,4.4,NA,NA,NA,4.45,NA,NA,NA,NA,NA,4.7,4.5,NA,NA,4.5,NA,2
"Bates, John","US Intl Inbound Tax",202030,12.4,26.2,47.1,4.47,4.49,NA,NA,NA,NA,NA,NA,4.9,NA,NA,NA,4.6,NA,NA,4.61,NA,4.3,NA,NA,NA,4.57,4.76,NA,NA,4.55,NA,10
"Batson, David","Negotiations Sem",202010,16.333,22.667,71.333,4.4,4.567,NA,NA,NA,NA,NA,NA,4.733,NA,NA,NA,NA,NA,NA,3.833,NA,NA,NA,NA,NA,4.5,4.533,NA,NA,4.367,NA,3
"Beard, G.","Fed Tax of Bnkrptcy & Workouts",201830,5,9,56,4.2,4,NA,NA,NA,NA,NA,NA,4.6,NA,NA,NA,NA,NA,NA,4.6,NA,NA,NA,NA,NA,4.4,5,NA,NA,4.4,NA,1
"Beatty-Arthur, Sherri","Drafting Contracts",202220,11.5,17,67,4.65,4.85,NA,NA,NA,NA,NA,NA,4.6,NA,NA,NA,NA,NA,NA,4.75,NA,NA,NA,NA,NA,4.8,4.8,NA,NA,4.7,NA,2
"Becker, Julie","Intro to U.S. Con Law",202230,16,20,80,4.9,5,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,4.9,NA,NA,4.9,NA,1
"Beckwith, Edward","Adv Priv Wealth Planning Sem",202090,2.4,7.6,35.6,4.44,4.9,NA,NA,NA,NA,NA,NA,4.94,NA,NA,NA,NA,NA,NA,4.5,NA,5,NA,NA,NA,4.86,4.54,NA,NA,4.54,NA,5
"Beckwith, Edward","Est Plan: Estate & Gift Tax",202113.333,3.5,14.333,25.833,4.217,4.54,NA,NA,NA,NA,NA,NA,4.883,NA,NA,NA,NA,NA,NA,4.033,NA,5,NA,NA,NA,4.133,4.2,NA,NA,4.05,NA,6
"Beckwith, Edward","Est Plan: Income Tax",202130,3,13.8,24,4.6,4.25,NA,NA,NA,NA,NA,NA,4.86,NA,NA,NA,NA,NA,NA,3.56,NA,4.25,NA,NA,NA,4.6,4.7,NA,NA,4.6,NA,5
"Beckwith, Edward","Est Plan: Sp Top Transfer Tax",202030,4.4,10.4,41.6,4.84,4.8,NA,NA,NA,NA,NA,NA,4.8,NA,NA,NA,NA,NA,NA,4.12,NA,5,NA,NA,NA,4.76,4.92,NA,NA,4.82,NA,5
"Beckwith, Edward","Estate Planning: Estate and Gift Tax",201830,2,17,12,5,5,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,5,NA,NA,5,NA,1
"Beckwith, Edward","Estate Planning: Income Taxation of Trusts, Estates and Bene",201830,2,22,9,5,5,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,5,NA,NA,5,NA,1
"Bedoya, Alvaro","Federal Legislation Clinic",201940,7,10.75,64.75,4.875,4.75,NA,NA,NA,4.4,NA,NA,4.875,NA,4.625,4.325,NA,NA,NA,4.525,NA,NA,NA,NA,NA,4.9,4.85,NA,NA,4.9,NA,4
"Bedoya, Alvaro","Privacy Legislation: Law/Tech",202110,7,10,70,4.9,5,5,NA,4.4,NA,NA,NA,5,NA,NA,NA,NA,4.9,4.1,5,NA,NA,NA,NA,NA,5,5,NA,NA,4.9,NA,1
"Bedoya, Alvaro","Surveillance & Civil Rts Pract",202080,5,11,45,4.9,4.75,NA,4.7,NA,NA,4.55,4.8,4.65,4.15,NA,NA,NA,NA,NA,4.45,4.15,NA,NA,NA,NA,4.7,4.75,NA,NA,4.5,NA,2
"Bedoya, Alvaro","The Color of Surveillance Sem",202030,14,22,64,4.9,5,NA,NA,NA,NA,NA,NA,4.9,NA,NA,NA,NA,NA,NA,4.6,NA,NA,4.9,4.6,NA,4.8,4.9,5,5,4.8,5,1
"Belcuore, Alfred","Trial Practice",202060,6.5,8.75,75.25,4.775,4.625,NA,NA,NA,NA,NA,NA,4.975,NA,NA,NA,NA,NA,NA,4.6,NA,NA,NA,NA,NA,4.875,4.675,NA,NA,4.75,NA,4
"Bell, Elizabeth","Current Issues in Tax Policy",202060,13,20,61.25,4.9,4.625,NA,NA,NA,NA,NA,NA,4.975,NA,NA,NA,NA,NA,NA,4.675,NA,NA,NA,NA,NA,4.75,4.95,NA,NA,4.85,NA,4
"Bell, Tannisha","Externship I Seminar",202090,10.8,15.8,68.2,4.6,4.74,NA,NA,NA,NA,NA,NA,3.28,NA,NA,NA,NA,NA,NA,3.22,NA,NA,NA,NA,NA,4.36,4.82,NA,NA,4.66,NA,5
"Bell, Tannisha","Externship II Seminar",202210,13,15,87,4.8,5,NA,NA,NA,NA,NA,NA,4.4,NA,NA,NA,NA,NA,NA,4.2,NA,NA,NA,NA,NA,4.9,5,NA,NA,4.9,NA,1
"Bellini, Christopher","Intl Banking in the Us",201960,9.5,13,73,3.9,4.25,NA,NA,NA,NA,NA,NA,4.1,NA,NA,NA,NA,NA,NA,4.1,NA,NA,NA,NA,NA,3.85,4.55,NA,NA,4,NA,2
"Bender, Allison","Cybersecurity Law",202060,7.5,13,60.25,4.325,4.625,NA,NA,NA,NA,NA,NA,4.825,NA,NA,NA,NA,NA,NA,4.05,NA,NA,NA,NA,NA,4.7,4.775,NA,NA,4.55,NA,4
"Bender, Allison","National Security Regulation",201980,9.25,14.25,66.75,4.375,4.5,NA,NA,NA,NA,NA,NA,4.925,NA,NA,NA,NA,NA,NA,4.4,NA,NA,NA,NA,NA,4.35,4.85,NA,NA,4.55,NA,4
"Beneke, Patricia","Natural Resources Law & Pol Pr",202060,6.25,10.25,63.5,4.875,4.95,4.95,NA,4.875,NA,NA,NA,5,NA,NA,NA,NA,4.925,4.5,4.875,NA,NA,NA,NA,NA,4.9,4.975,NA,NA,5,NA,4
"Beneke, Patricia","Water Law Seminar",201980,8.5,10.5,86,4.725,4.925,NA,NA,NA,NA,NA,NA,4.8,NA,NA,NA,NA,NA,NA,4.6,NA,NA,NA,NA,NA,4.625,4.875,NA,NA,4.725,NA,4
"Benesh, Melanie","Public Interest Adv: Gov't Reg",202060,3.5,4.75,66.75,5,5,NA,4.9,NA,NA,4.8,4.8,5,4.9,NA,NA,NA,NA,NA,4.75,4.875,NA,NA,NA,NA,4.975,4.975,NA,NA,4.9,NA,4
"Benitez, Brigida","Intl Business Lit in Fed Prac",202076.667,9.167,16,53.5,4.55,4.667,NA,NA,NA,NA,NA,NA,4.7,NA,NA,NA,NA,NA,NA,4.533,NA,4.9,NA,NA,NA,4.567,4.783,NA,NA,4.6,NA,6
"Bennett, Edward","Trial Practice",202030,3,6,50,5,5,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,5,NA,NA,5,NA,1
"Beresin, Marta","Health Justice Alliance Law Cl",202142,9.8,11.2,88.4,4.64,4.84,NA,NA,NA,4.64,NA,NA,4.92,NA,4.78,4.64,NA,NA,NA,4.74,NA,NA,NA,NA,NA,4.74,4.72,NA,NA,4.74,NA,5
"Bergamini, Laura","ICSID Arbitration",201910,13,17,76,4.5,4.5,NA,NA,NA,NA,NA,NA,4.7,NA,NA,NA,NA,NA,NA,4.7,NA,NA,NA,NA,NA,4.5,4.7,NA,NA,4.5,NA,1
"Berger, Eric","Negotiations and Mediation Sem",202060,10,23.25,43.25,4.85,4.95,NA,NA,NA,NA,NA,NA,4.875,NA,NA,NA,NA,NA,NA,4.525,NA,NA,NA,NA,NA,4.825,4.9,NA,NA,4.9,NA,4
"Berkman, Tobias","Negotiations Sem",202130,11,23,48,4.8,4.6,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,4.8,NA,NA,NA,NA,NA,4.8,5,NA,NA,4.9,NA,1
"Berlin, Seth","Free Press",202123.333,13,19,68.667,4.8,4.9,NA,NA,NA,NA,NA,NA,4.9,NA,NA,NA,NA,NA,NA,4.533,NA,NA,NA,NA,NA,4.8,4.8,NA,NA,4.7,NA,3
"Berlin, Seth","Free Press Seminar",201830,17,17,100,4.8,5,NA,NA,NA,NA,NA,NA,4.9,NA,NA,NA,NA,NA,NA,4.2,NA,NA,NA,NA,NA,4.9,4.9,NA,NA,4.7,NA,1
"Berman, Kenneth","Money Managers",201980,4,10,43.75,4.375,4.333,NA,NA,NA,NA,NA,NA,4.95,NA,NA,NA,4.5,NA,NA,4.825,NA,5,NA,NA,NA,4.7,4.625,NA,NA,4.5,NA,4
"Berman, Lori","Leadership and Team Skills for Lawyers",201820,3,17,18,4,5,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,3.7,4.3,NA,NA,4,NA,1
"Bernardini, Jennifer","Taxn of Energy Markets",202160,6.5,12,52,4.2,4.75,NA,NA,NA,NA,NA,NA,4.85,NA,NA,NA,NA,NA,NA,4.3,NA,NA,NA,NA,NA,4.1,5,NA,NA,3.95,NA,2
"Bernstein, Dori","SCI Judicial Clerkship Practic",201960,6.5,8,81.5,5,5,5,NA,5,NA,NA,NA,4.9,NA,NA,NA,NA,5,5,4.85,NA,NA,NA,NA,NA,4.9,5,NA,NA,5,NA,2
"Bertotti, Candace","Negotiations Sem",202060,14.5,20,74.5,4.6,4.575,NA,NA,NA,NA,NA,NA,4.7,NA,NA,NA,NA,NA,NA,4.225,NA,NA,NA,NA,NA,4.675,4.85,NA,NA,4.625,NA,4
"Bessler, John","Capital Punishment Seminar",202060,6.25,16,39.5,4.725,4.85,NA,NA,NA,NA,NA,NA,4.875,NA,NA,NA,NA,NA,NA,4.375,NA,NA,5,4.875,NA,4.625,4.9,4.9,4.65,4.525,4.9,4
"Bethard, James","Basic Accounting for Lawyers",202060,13,23.875,47.125,4.8,4.775,NA,NA,NA,NA,NA,NA,4.85,NA,NA,NA,NA,NA,NA,4.737,NA,5,NA,NA,5,4.75,4.9,NA,NA,4.725,NA,8
"Bhansali, Lisa","Practicng Law in Another Cntry",201920,13,18,72,3.2,4.4,NA,NA,NA,NA,NA,NA,2.5,NA,NA,NA,NA,NA,NA,2.7,NA,NA,NA,NA,NA,3.5,3.7,NA,NA,3.5,NA,1
"Bhansali, Lisa","Rule of Law & the Admin of Jus",202055,11.25,12.75,88.5,4.525,4.775,NA,NA,NA,NA,NA,NA,4.55,NA,NA,NA,NA,NA,NA,4.45,NA,NA,NA,NA,NA,4.6,4.675,NA,NA,4.55,NA,4
"Biel, Eric","Bus & Hum Rts in the Glob Econ",202210,13,17,76,3.3,4.4,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,4.2,NA,NA,NA,NA,NA,3.8,3.8,NA,NA,3.7,NA,1
"Biel, Eric","Hmn Rts Intrsn of Trd Corp Res",202010,8.667,16.333,52.667,4.767,4.833,NA,NA,NA,NA,NA,NA,4.767,NA,NA,NA,NA,NA,NA,4.7,NA,NA,NA,NA,NA,4.767,4.933,NA,NA,4.7,NA,3
"Bierma, Christa","Emp Ben: Health & Welfare Plan",202196.667,4.667,7.333,62.333,4.933,4.933,NA,NA,NA,NA,NA,NA,4.967,NA,NA,NA,NA,NA,NA,4.7,NA,5,NA,NA,NA,4.733,4.967,NA,NA,4.867,NA,3
"Bieron, Brian","The Internet & Intl Trade Law",201910,11,14,79,4.6,4.9,NA,NA,NA,NA,NA,NA,4.4,NA,NA,NA,NA,NA,NA,4.4,NA,NA,NA,NA,NA,4.7,4.8,NA,NA,4.5,NA,1
"Bigge, David","State-to-State Dispute Res",202130,13,20,65,4.8,4.8,NA,NA,NA,NA,NA,NA,4.9,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,4.8,4.9,NA,NA,4.9,NA,1
"Bird, Coleman","Civil Litigation Practice",202014,5.6,9.8,57.4,4.92,4.54,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,4.36,NA,NA,NA,NA,NA,4.94,4.96,NA,NA,4.92,NA,5
"Birnbaum, Deborah","Externship I Seminar",201970,11.25,14.5,77.5,2.975,3.95,NA,NA,NA,NA,NA,NA,2.675,NA,NA,NA,NA,NA,NA,2.525,NA,NA,NA,NA,NA,3.35,3.575,NA,NA,3.525,NA,4
"Birnbaum, Deborah","Externship I Seminar (J.D. Externship Program)",201830,16,16,100,2.1,3.6,NA,NA,NA,NA,NA,NA,2.8,NA,NA,NA,NA,NA,NA,2.8,NA,NA,NA,NA,NA,3.5,2.6,NA,NA,2.9,NA,1
"Biros, Mark","Adv Criminal Procedure",202060,14.75,22,68.5,3.875,4.225,NA,NA,NA,NA,NA,NA,4.8,NA,NA,NA,NA,NA,NA,4.225,NA,NA,NA,NA,NA,4.425,4.25,NA,NA,3.975,NA,4
"Birzon Harriman, Lauren","Domestic Violence Clinic",202190,9.333,10.667,87.333,3.433,4.367,NA,NA,NA,4.1,NA,NA,4.767,NA,4.9,4.3,NA,NA,NA,4.333,NA,NA,NA,NA,NA,4.067,4.4,NA,NA,3.8,NA,3
"Bischoff, James","Intl Human Rights Law",202210,11,17,65,3.9,4.6,NA,NA,NA,NA,NA,NA,4.5,NA,NA,NA,NA,NA,NA,3.8,NA,NA,NA,NA,NA,4.2,4.6,NA,NA,4.1,NA,1
"Bissell, Mary","Advocacy Tools for PI Lawyers",202060,8.5,14.25,59.5,4.925,4.95,NA,NA,NA,NA,NA,NA,4.8,NA,NA,NA,NA,NA,NA,4.1,NA,NA,NA,NA,NA,4.725,4.975,NA,NA,4.875,NA,4
"Bjork, Charles","Research Skills in Intl & Comp",202010,8.333,12.333,70,4.833,5,NA,NA,NA,NA,NA,NA,4.8,NA,NA,NA,NA,NA,NA,4.433,NA,NA,NA,NA,NA,4.667,4.867,NA,NA,4.767,NA,3
"Blackett, Amanda","Adv Top Corp Law: Delaware",202110,4,21,19,5,4.5,NA,NA,NA,NA,NA,NA,4.8,NA,NA,NA,NA,NA,NA,4.8,NA,NA,NA,NA,NA,5,5,NA,NA,5,NA,1
"Blackett, Amanda","Corp Transaction Litigat in DE",201910,18,40,45,4.8,4.6,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,4.8,NA,NA,NA,NA,NA,4.8,4.7,NA,NA,4.8,NA,1
"Blair-Stanek, Andrew","Business & Financial Basics",202080,34.75,60,64.25,4.925,4.975,NA,NA,NA,NA,NA,NA,4.95,NA,NA,NA,NA,NA,NA,4.875,NA,NA,NA,NA,NA,4.825,5,NA,NA,4.925,NA,4
"Blair-Stanek, Andrew","Business and Financial Basics",201830,17,77,22,4.9,4.8,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,4.8,NA,NA,NA,NA,NA,4.9,4.9,NA,NA,5,NA,1
"Blanchard, Alexander","Externship I Seminar",202230,15,16,94,4.3,4.8,NA,NA,NA,NA,NA,NA,3.4,NA,NA,NA,NA,NA,NA,3.6,NA,NA,NA,NA,NA,4.5,4.4,NA,NA,4.3,NA,1
"Blanco, Kenneth","Adv Evidence: Trial Skill",201880,4,10.5,37.5,5,5,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,4.75,NA,NA,NA,NA,NA,5,5,NA,NA,5,NA,2
"Blanco, Kenneth","Trial Practice",201960,6,11,54.5,4.85,4.55,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,4.4,NA,NA,NA,NA,NA,5,4.85,NA,NA,4.95,NA,2
"Blank, Michael","Negotiations Sem",202060,14.5,20,74.5,4.475,4.475,NA,NA,NA,NA,NA,NA,4.7,NA,NA,NA,NA,NA,NA,4.225,NA,NA,NA,NA,NA,4.675,4.55,NA,NA,4.575,NA,4
"Blatt, Lisa","Separation of Powers Seminar",202030,9.4,22,42.2,4.26,4.04,NA,NA,NA,NA,NA,NA,4.84,NA,NA,NA,NA,NA,NA,4.24,NA,NA,4.04,3.92,NA,4.24,4.42,4.62,4.38,4.12,4.56,5
"Blaze, Matt","Tech & Election Integrity Sem",202080,8.5,18.75,45,4.3,3.7,NA,NA,NA,NA,NA,NA,4.775,NA,NA,NA,NA,NA,NA,4.275,NA,NA,3.433,3.433,NA,4.525,4.8,2.467,2.933,4.4,3.2,4
"Bleicher, Samuel","Intl Negotiations",201963.333,11.667,16,75.333,3.533,4.467,NA,NA,NA,NA,NA,NA,4.433,NA,NA,NA,NA,NA,NA,3.9,NA,NA,NA,NA,NA,4.167,3.533,NA,NA,3.867,NA,3
"Blenman, Eboni","Criminal Def & Pris Adv Clinic",201910,5,13,38,4.8,5,NA,NA,NA,4.8,NA,NA,5,NA,5,4.2,NA,NA,NA,4.2,NA,NA,NA,NA,NA,5,5,NA,NA,4.8,NA,1
"Blew, Tyra","Social Enterprise & Nonprofit",201870,8.5,12,71,3.25,4.05,NA,NA,NA,4.3,NA,NA,4.3,NA,4.45,3.9,NA,NA,NA,4.05,NA,NA,NA,NA,NA,3.85,4.25,NA,NA,3.85,NA,2
"Bloch, Susan","Con Law I: Federal System",202030,27.2,31.8,86.4,3.84,4.6,NA,NA,NA,NA,NA,NA,4.6,NA,NA,NA,NA,NA,NA,4.12,NA,NA,NA,NA,NA,4.18,4.7,NA,NA,3.92,NA,5
"Bloch, Susan","Constitutional Law II",202010,17,48,35,3.8,4.8,NA,NA,NA,NA,NA,NA,4.6,NA,NA,NA,NA,NA,NA,4.2,NA,NA,NA,NA,NA,3.7,4.4,NA,NA,3.8,NA,1
"Bloch, Susan","Supreme Court Seminar",202030,10,16.8,58.8,4.54,4.68,NA,NA,NA,NA,NA,NA,4.72,NA,NA,NA,NA,NA,NA,3.74,NA,NA,4.375,4.475,NA,4.5,4.76,3.375,4.1,4.52,3.425,5
"Bloche, Gregg","Health Care Law and Policy",202130,8,21,38,4.6,4.3,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,4.6,NA,NA,NA,NA,NA,4.8,4.1,NA,NA,4.5,NA,1
"Bloche, Gregg","Health Care in Crisis",202110,1,5,20,5,5,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,5,NA,NA,5,4,NA,5,5,5,5,5,5,1
"Bloche, Gregg","Health Law & Policy",201930,9.667,15.667,62.667,4.133,4.767,NA,NA,NA,NA,NA,NA,4.733,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,4.367,4.567,NA,NA,4.033,NA,3
"Bloche, Gregg","The Battle over Obamacare",202010,5,11,45,5,5,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,5,NA,NA,4.8,4.4,NA,5,5,5,4.6,4.8,5,1
"Bloche, Gregg","The Battle over Obamacare""""""""",201910,10,13,77,3.7,4.6,NA,NA,NA,NA,NA,NA,4.6,NA,NA,NA,NA,NA,NA,4.2,NA,NA,4.7,4.3,NA,4.5,4.3,4.6,4.5,3.9,4.5,1
"Bloche, Gregg","The Mind and the Law",202040,11.75,27.5,42.25,3.6,4.5,NA,NA,NA,NA,NA,NA,3.925,NA,NA,NA,NA,NA,NA,3.775,NA,NA,NA,NA,NA,4.375,4.375,NA,NA,3.925,NA,4
"Block, Elaine","Professional Responsibility",202150,32.333,48.667,67,3.367,4.333,NA,NA,NA,NA,NA,NA,4.167,NA,NA,NA,NA,NA,NA,3.833,NA,NA,NA,NA,NA,3.967,4.4,NA,NA,3.4,NA,3
"Blunt, Amanda","Intl Negotiations",202230,13,19,68,4.3,4.4,NA,NA,NA,NA,NA,NA,4.2,NA,NA,NA,NA,NA,NA,3.8,NA,NA,NA,NA,NA,4.3,4.8,NA,NA,4.6,NA,1
"Boasberg, Tersh","Historic Preservation Seminar",202040,6.5,10.75,60.25,4.9,4.975,NA,NA,NA,NA,NA,NA,4.825,NA,NA,NA,NA,NA,NA,4.85,NA,NA,4.75,4.4,NA,4.95,4.9,4.775,4.925,4.875,4.7,4
"Bock, Heather","Leadership and Team Skills for Lawyers",201820,3,17,18,4,5,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,4,4.3,NA,NA,4.3,NA,1
"Boeri Pozo, Celeste","Intl Business Transactions",202130,31,35,89,4.3,4.7,NA,NA,NA,NA,NA,NA,4.7,NA,NA,NA,NA,NA,NA,4.7,NA,NA,NA,NA,NA,4.5,4.8,NA,NA,4.5,NA,1
"Bolles, Emily","Adv Legal Writing: Retail",202010,5,11,45,4.6,5,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,3.8,NA,NA,NA,NA,NA,4.2,4.8,NA,NA,4.6,NA,1
"Bollyky, Thomas","Law & Reg Global Health Tech",201960,5.5,8,65,4.8,4.85,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,4.8,NA,NA,NA,NA,NA,5,4.85,NA,NA,4.8,NA,2
"Bondareff, Joan","Renewable Energy Seminar",202210,5,17,29,2.6,4.5,NA,NA,NA,NA,NA,NA,3.8,NA,NA,NA,NA,NA,NA,2.8,NA,NA,NA,NA,NA,3,3.4,NA,NA,2.8,NA,1
"Bondi, Bradley","Rethk Sec Reg & Role of SEC",202030,5.125,10.875,57.25,4.475,4.588,NA,NA,NA,NA,NA,NA,4.7,NA,NA,NA,4.2,NA,NA,4.662,NA,4.65,NA,NA,NA,4.562,4.625,NA,NA,4.45,NA,8
"Bonneau, Sonya","Art Law Seminar",201910,10,13,77,4.8,4.9,NA,NA,NA,NA,NA,NA,4.8,NA,NA,NA,NA,NA,NA,4.8,NA,NA,5,4.3,NA,4.6,4.8,4.9,4.5,4.7,4.9,1
"Bonneau, Sonya","Legal Practice: Writ/Analysis",202060,17,46.5,39,4.6,4.85,NA,NA,NA,NA,NA,NA,4.7,NA,NA,NA,NA,NA,NA,4.3,NA,NA,NA,NA,NA,4.65,4.65,NA,NA,4.55,NA,2
"Bonneau, Sonya","Legal Writing Sem:Theory&Pract",202060,3.5,5.5,63.5,5,5,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,5,NA,NA,5,5,NA,5,4.85,5,4.85,5,5,2
"Bonneau, Sonya","The Judicial Opinion Sem",201910,15,18,83,4.8,4.9,NA,NA,NA,NA,NA,NA,4.9,NA,NA,NA,NA,NA,NA,4.5,NA,NA,NA,NA,NA,4.7,4.7,NA,NA,4.7,NA,1
"Bonner, Elizabeth","Adv Leg Writ & Pract: Natl Sec",202210,6,8,75,4.2,4.5,NA,NA,NA,NA,NA,NA,4.8,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,4.3,4.7,NA,NA,4.3,NA,1
"Boone, Theodore","Drafting Contracts",201870,16,17,93.5,4.65,4.85,NA,NA,NA,NA,NA,NA,4.75,NA,NA,NA,NA,NA,NA,4.8,NA,NA,NA,NA,NA,4.65,4.95,NA,NA,4.65,NA,2
